Speaker,Utterance,Dialogue_Act,Dialogue_ID,File_ID
U,¿ A qué hora llega el primero ? .,Pregunta,9,V204_VB0a3
M,El primer tren es un talgo que sale a las 7 y 3 de la madrugada y llega a la una y 35 del mediodía .,Respuesta,9,V204_VB0a3
M,Desea algo más ? .,Nueva_consulta,9,V204_VB0a3
U,"Sí , quería saber el precio .",Pregunta,9,V204_VB0a3
M,El precio de ese tren en turista es 44 euros el billete de ida . Recuerde que el billete de ida y vuelta siempre supone un ahorro del 20 por ciento .,Respuesta,9,V204_VB0a3
M,Desea algo más ? .,Nueva_consulta,9,V204_VB0a3
U,"No , nada más , muchas gracias .",Cierre,9,V204_VB0a3
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,9,V204_VB0a3
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,10,V204_VA2c7
U,"Hola , quería saber los horarios para ir a Madrid .",Pregunta,10,V204_VA2c7
M,¿ Qué día desea salir ? .,Pregunta,10,V204_VA2c7
U,Quiero llegar el día veinte de abril .,Respuesta,10,V204_VA2c7
M,Lo siento . No he entendido bien . puede repetir ? .,No_entendido,10,V204_VA2c7
U,"Sí , para el veinte de abril .",Respuesta,10,V204_VA2c7
M,"Le consulto horarios de valencia a madrid llegando el martes , día 20 de abril de 2004 .",Confirmacion,10,V204_VA2c7
M,Un momento por favor .,Espera,10,V204_VA2c7
M,Hay varios trenes . El primero llega a las 10 y 17 de la mañana y el último a las 11 y 50 de la noche .,Respuesta,10,V204_VA2c7
M,Desea algo más ? .,Nueva_consulta,10,V204_VA2c7
U,Quiero saber alguno que llegue antes de las seis .,Pregunta,10,V204_VA2c7
M,Le consulto horarios .,Confirmacion,10,V204_VA2c7
M,Un momento por favor .,Espera,10,V204_VA2c7
M,Hay varios trenes . El primero llega a las 10 y 17 de la mañana y el último a las 5 y 50 de la tarde .,Respuesta,10,V204_VA2c7
M,Desea algo más ? .,Nueva_consulta,10,V204_VA2c7
U,¿ A qué hora sale ese último ? .,Pregunta,10,V204_VA2c7
M,Ese tren sale a las 2 y 15 del mediodía y llega a las 5 y 50 de la tarde .,Respuesta,10,V204_VA2c7
M,Desea algo más ? .,Nueva_consulta,10,V204_VA2c7
U,"Sí , quería saber ese tipo de tren cuál es .",Pregunta,10,V204_VA2c7
M,Ese tren es un alaris .,Respuesta,10,V204_VA2c7
M,Desea algo más ? .,Nueva_consulta,10,V204_VA2c7
U,"No , nada más , muchas gracias .",Cierre,10,V204_VA2c7
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,10,V204_VA2c7
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,11,V204_VC5c3
U,"Hola , quería saber horarios para ir de Tarragona",Pregunta,11,V204_VC5c3
U,a Barcelona,Pregunta,11,V204_VC5c3
U,mañana .,Pregunta,11,V204_VC5c3
M,"Le consulto horarios de trenes con salida en tarragona destino barcelona saliendo el miércoles , día 17 de diciembre de 2003 .",Confirmacion,11,V204_VC5c3
M,Un momento por favor .,Espera,11,V204_VC5c3
M,Hay varios trenes . El primero sale a las 5 y 15 de la noche y el último a las 10 y 5 de la noche .,Respuesta,11,V204_VC5c3
M,Desea algo más ? .,Nueva_consulta,11,V204_VC5c3
U,"Sí , el primer euromed que tenga , por favor .",Pregunta,11,V204_VC5c3
M,Le consulto horarios .,Confirmacion,11,V204_VC5c3
M,Un momento por favor .,Espera,11,V204_VC5c3
M,El primer tren es un euromed que sale a las 8 y 36 de la mañana y llega a las 9 y 36 de la mañana .,Respuesta,11,V204_VC5c3
M,Desea algo más ? .,Nueva_consulta,11,V204_VC5c3
U,"Sí , ahora quería saber los horarios de vuelta .",Pregunta,11,V204_VC5c3
M,"Le consulto horarios de trenes con salida en barcelona destino tarragona saliendo el miércoles , día 17 de diciembre de 2003 .",Confirmacion,11,V204_VC5c3
M,Un momento por favor .,Espera,11,V204_VC5c3
M,Hay varios trenes . El primero sale a las 7 de la madrugada y el último a las 8 y 30 de la tarde .,Respuesta,11,V204_VC5c3
M,Desea algo más ? .,Nueva_consulta,11,V204_VC5c3
U,"Sí , el último",Pregunta,11,V204_VC5c3
U,euromed que tenga .,Pregunta,11,V204_VC5c3
M,El sexto y último tren es un euromed que sale a las 8 y 30 de la tarde y llega a las 9 y 17 de la tarde .,Respuesta,11,V204_VC5c3
M,Desea algo más ? .,Nueva_consulta,11,V204_VC5c3
U,"Sí , quería saber el precio del billete , a ser posible en clase turista .",Pregunta,11,V204_VC5c3
M,El precio de ese tren en turista es 15 con 50 euros el billete de ida . Recuerde que el billete de ida y vuelta siempre supone un ahorro del 20 por ciento .,Respuesta,11,V204_VC5c3
M,Desea algo más ? .,Nueva_consulta,11,V204_VC5c3
U,"No , ya es suficiente , adiós .",Cierre,11,V204_VC5c3
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,11,V204_VC5c3
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,12,B207_BB1a2
U,Quiero saber el horario el precio de un tren para salir desde Bilbao,Pregunta,12,B207_BB1a2
U,a Madrid .,Pregunta,12,B207_BB1a2
M,¿ A qué ciudad desea viajar ? .,Pregunta,12,B207_BB1a2
U,Madrid .,Respuesta,12,B207_BB1a2
M,¿ Qué día desea salir ? .,Pregunta,12,B207_BB1a2
U,El sábado .,Respuesta,12,B207_BB1a2
M,Lo siento . No he entendido bien . puede repetir ? .,No_entendido,12,B207_BB1a2
U,Mañana .,Respuesta,12,B207_BB1a2
M,"¿ Desea salir el jueves , día 26 de febrero de 2004 ? .",Confirmacion,12,B207_BB1a2
U,Sí .,Afirmacion,12,B207_BB1a2
M,"Le consulto horarios de trenes con salida en bilbao destino madrid saliendo el jueves , día 26 de febrero de 2004 .",Confirmacion,12,B207_BB1a2
M,Un momento por favor .,Espera,12,B207_BB1a2
M,El único tren que realiza el trayecto es un talgo que sale a las 4 y 30 de la tarde .,Respuesta,12,B207_BB1a2
M,Desea algo más ? .,Nueva_consulta,12,B207_BB1a2
U,¿ Puedo llevar el coche en el tren ? .,Pregunta,12,B207_BB1a2
M,Este servicio no está preparado para este tipo de consultas .,Indefinida,12,B207_BB1a2
M,Desea realizar otra consulta ? .,Nueva_consulta,12,B207_BB1a2
U,¿ Qué precio tiene ? .,Pregunta,12,B207_BB1a2
M,Le consulto precios de bilbao a madrid .,Confirmacion,12,B207_BB1a2
M,Un momento por favor .,Espera,12,B207_BB1a2
M,El único tren que realiza el trayecto es un talgo y su precio en clase turista es 29 con 50 euros el billete de ida . Recuerde que el billete de ida y vuelta siempre supone un ahorro del 20 por ciento .,Respuesta,12,B207_BB1a2
M,Desea algo más ? .,Nueva_consulta,12,B207_BB1a2
U,"No , gracias .",Cierre,12,B207_BB1a2
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,12,B207_BB1a2
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,13,B207_BC6c2
U,"Hola , quería los horarios y precios un tren de Madrid",Pregunta,13,B207_BC6c2
U,a Ciudad_Real .,Pregunta,13,B207_BC6c2
M,¿ Quiere viajar desde barcelona ? .,Confirmacion,13,B207_BC6c2
U,"No ,",Negacion,13,B207_BC6c2
U,de Madrid .,Respuesta,13,B207_BC6c2
M,¿ A qué ciudad desea viajar ? .,Pregunta,13,B207_BC6c2
U,Ciudad_Real .,Respuesta,13,B207_BC6c2
M,"Quiere horarios de trenes a ciudad_real ,",Confirmacion,13,B207_BC6c2
M,¿ desde madrid ? .,Confirmacion,13,B207_BC6c2
U,Sí,Afirmacion,13,B207_BC6c2
U,y precios .,Pregunta,13,B207_BC6c2
M,¿ Qué día desea salir ? .,Pregunta,13,B207_BC6c2
U,El uno de mayo .,Respuesta,13,B207_BC6c2
M,Lo siento . No he entendido bien . puede repetir ? .,No_entendido,13,B207_BC6c2
U,Uno de mayo .,Respuesta,13,B207_BC6c2
M,"Le consulto horarios de trenes con salida en madrid destino ciudad_real saliendo el sábado , día 1 de mayo de 2004 .",Confirmacion,13,B207_BC6c2
M,Un momento por favor .,Espera,13,B207_BC6c2
M,Hay varios trenes . El primero sale a las 6 y 45 de la mañana y el último a las 10 y 25 de la noche .,Respuesta,13,B207_BC6c2
M,Desea algo más ? .,Nueva_consulta,13,B207_BC6c2
U,¿ Y los precios ? .,Pregunta,13,B207_BC6c2
M,Le consulto precios de madrid a ciudad_real .,Confirmacion,13,B207_BC6c2
M,Un momento por favor .,Espera,13,B207_BC6c2
M,"Hay varios trenes . En clase turista , el tren más caro es un altaria que cuesta 27 con 50 euros la ida y el más barato es un regional que cuesta 12 con 55 euros . Recuerde que el billete de ida y vuelta siempre supone un ahorro del 20 por ciento .",Respuesta,13,B207_BC6c2
M,Desea algo más ? .,Nueva_consulta,13,B207_BC6c2
U,Quiero viajar en una intercity .,Pregunta,13,B207_BC6c2
M,"Le consulto horarios de trenes con salida en madrid destino ciudad_real saliendo el sábado , día 1 de mayo de 2004 en intercity .",Confirmacion,13,B207_BC6c2
M,Un momento por favor .,Espera,13,B207_BC6c2
M,No hay ningún tren que cumpla estos requerimientos .,Respuesta,13,B207_BC6c2
M,Desea cambiar alguna de las características solicitadas ? .,Nueva_consulta,13,B207_BC6c2
U,Quiero viajar en primera,Pregunta,13,B207_BC6c2
U,con servicio de bar o restaurante .,Pregunta,13,B207_BC6c2
M,"Le consulto horarios de trenes con salida en madrid destino ciudad_real saliendo el sábado , día 1 de mayo de 2004 en clase preferente .",Confirmacion,13,B207_BC6c2
M,Un momento por favor .,Espera,13,B207_BC6c2
M,Un momento por favor .,Espera,13,B207_BC6c2
M,Hay varios trenes . El primero sale a las 6 y 45 de la mañana y el último a las 10 y 25 de la noche .,Respuesta,13,B207_BC6c2
M,Desea algo más ? .,Nueva_consulta,13,B207_BC6c2
U,"No , gracias .",Cierre,13,B207_BC6c2
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,13,B207_BC6c2
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,14,B207_BA3c2
U,"Hola , quería saber el horario para un tren de viaje de ida",Pregunta,14,B207_BA3c2
U,a Barcelona .,Pregunta,14,B207_BA3c2
M,¿ Quiere salir desde barcelona ? .,Confirmacion,14,B207_BA3c2
U,"No ,",Negacion,14,B207_BA3c2
U,quiero llegar a Barcelona .,Respuesta,14,B207_BA3c2
M,¿ Quiere salir desde bilbao ? .,Confirmacion,14,B207_BA3c2
U,Sí .,Afirmacion,14,B207_BA3c2
M,¿ Qué día desea salir ? .,Pregunta,14,B207_BA3c2
U,El seis de noviembre .,Respuesta,14,B207_BA3c2
M,Lo siento . No he entendido bien . puede repetir ? .,No_entendido,14,B207_BA3c2
U,El seis de noviembre .,Respuesta,14,B207_BA3c2
M,"Le consulto horarios de trenes con salida en bilbao destino barcelona saliendo el sábado , día 6 de noviembre de 2004 .",Confirmacion,14,B207_BA3c2
M,Un momento por favor .,Espera,14,B207_BA3c2
M,El único tren que realiza el trayecto es un miguel_de_unamuno que sale a las 10 y 5 de la mañana .,Respuesta,14,B207_BA3c2
M,Desea algo más ? .,Nueva_consulta,14,B207_BA3c2
U,"No , gracias .",Cierre,14,B207_BA3c2
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,14,B207_BA3c2
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,16,Z405_ZB4a3
U,"Mire pues , necesito ir de Lérida",Pregunta,16,Z405_ZB4a3
U,a Málaga,Pregunta,16,Z405_ZB4a3
U,"el día veintisiete de abril ,",Pregunta,16,Z405_ZB4a3
U,"porque tengo un examen en Málaga , ¿ sabe ? , entonces necesito un tren que llegue a Málaga",Pregunta,16,Z405_ZB4a3
U,"antes de las cinco de la tarde , y quiero saber el horario y el precio .",Pregunta,16,Z405_ZB4a3
M,¿ Qué día desea salir ? .,Pregunta,16,Z405_ZB4a3
U,Necesito estar allí el veintisiete de abril .,Respuesta,16,Z405_ZB4a3
M,"Quiere horarios de trenes a málaga ,",Confirmacion,16,Z405_ZB4a3
M,¿ desde zaragoza ? .,Confirmacion,16,Z405_ZB4a3
U,"No ,",Negacion,16,Z405_ZB4a3
U,necesito salir de Lérida .,Respuesta,16,Z405_ZB4a3
M,"Le consulto horarios de lérida a málaga llegando el martes , día 27 de abril de 2004 entre las 0 de la noche y las 5 de la tarde .",Confirmacion,16,Z405_ZB4a3
M,Un momento por favor .,Espera,16,Z405_ZB4a3
M,Hay varios trenes . El primero sale a las 7 y 3 de la mañana y llega a la una y 35 de la tarde y el último sale a las 11 de la noche y llega a las 8 de la mañana .,Respuesta,16,Z405_ZB4a3
M,Desea algo más ? .,Nueva_consulta,16,Z405_ZB4a3
U,"Sí , por favor , además quiero saber cuánto me costaría .",Pregunta,16,Z405_ZB4a3
M,"Hay varios trenes . En clase turista , el tren más caro es un talgo que cuesta 44 euros la ida y el más barato es un diurno que cuesta 32 con 50 euros . Recuerde que el billete de ida y vuelta siempre supone un ahorro del 20 por ciento .",Respuesta,16,Z405_ZB4a3
M,Desea algo más ? .,Nueva_consulta,16,Z405_ZB4a3
U,"No , gracias .",Cierre,16,Z405_ZB4a3
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,16,Z405_ZB4a3
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,17,Z405_ZA4a3
U,Necesito un billete de ida,Pregunta,17,Z405_ZA4a3
U,a Córdoba,Pregunta,17,Z405_ZA4a3
U,para la segunda semana de junio porque tengo una oposición .,Pregunta,17,Z405_ZA4a3
M,¿ Quiere saber horarios ? .,Confirmacion,17,Z405_ZA4a3
U,Quiero un billete de ida,Pregunta,17,Z405_ZA4a3
U,"por la mañana ,",Pregunta,17,Z405_ZA4a3
U,"el día dieciséis de junio ,",Pregunta,17,Z405_ZA4a3
U,"en Ave si puede ser ,",Pregunta,17,Z405_ZA4a3
U,no fumadores,Pregunta,17,Z405_ZA4a3
U,clase no preferente .,Pregunta,17,Z405_ZA4a3
M,¿ Quiere saber horarios ? .,Confirmacion,17,Z405_ZA4a3
U,"Sí ,",Afirmacion,17,Z405_ZA4a3
U,"me gustaría saber el horario de salida , pero sobre todo que fuera en un tren de alta velocidad .",Pregunta,17,Z405_ZA4a3
M,"Quiere horarios de trenes a córdoba ,",Confirmacion,17,Z405_ZA4a3
M,¿ desde zaragoza ? .,Confirmacion,17,Z405_ZA4a3
U,"Sí , así es ,",Afirmacion,17,Z405_ZA4a3
U,para el día dieciséis de junio .,Respuesta,17,Z405_ZA4a3
M,"Le consulto horarios de trenes con salida en zaragoza destino córdoba saliendo el miércoles , día 16 de junio de 2004 en ave .",Confirmacion,17,Z405_ZA4a3
M,Un momento por favor .,Espera,17,Z405_ZA4a3
M,No hay ningún tren que cumpla estos requerimientos .,Respuesta,17,Z405_ZA4a3
M,Desea cambiar alguna de las características solicitadas ? .,Nueva_consulta,17,Z405_ZA4a3
U,"No , gracias , .",Cierre,17,Z405_ZA4a3
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,17,Z405_ZA4a3
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,18,Z405_ZB0c3
U,"Buenas tardes , pues mire , como voy hacer un curso de verano en Sevilla",Pregunta,18,Z405_ZB0c3
U,"a partir del veinticinco de julio ,",Pregunta,18,Z405_ZB0c3
U,pues necesito información de horarios para un viaje de ida,Pregunta,18,Z405_ZB0c3
U,entre Zaragoza,Pregunta,18,Z405_ZB0c3
U,y Sevilla y también pues qué precio cuesta el billete .,Pregunta,18,Z405_ZB0c3
M,¿ Qué día desea salir ? .,Pregunta,18,Z405_ZB0c3
U,"Pues mire yo con llegar allí antes del veinticinco de julio ya me va bien , búsqueme usted una fecha posible .",Respuesta,18,Z405_ZB0c3
M,"Quiere horarios de trenes a sevilla ,",Confirmacion,18,Z405_ZB0c3
M,¿ desde zaragoza ? .,Confirmacion,18,Z405_ZB0c3
U,"Sí ,",Afirmacion,18,Z405_ZB0c3
U,pero sólo viaje de ida .,Respuesta,18,Z405_ZB0c3
M,"Le consulto horarios de zaragoza a sevilla llegando el domingo , día 25 de julio de 2004 .",Confirmacion,18,Z405_ZB0c3
M,Un momento por favor .,Espera,18,Z405_ZB0c3
M,Hay varios trenes . El primero sale a las 12 y 10 de la mañana y el último a las 12 y 10 de la mañana .,Respuesta,18,Z405_ZB0c3
M,Desea algo más ? .,Nueva_consulta,18,Z405_ZB0c3
U,"Sí , además quiero saber el precio .",Pregunta,18,Z405_ZB0c3
