Speaker,Utterance,Dialogue_Act,Dialogue_ID
T_9_S12,"Non vorrei sembrarti indiscreta. Ma dimmi, il tuo peso ti sembra giusto? oppure ti piacerebbe cambiarlo?",QUESTION,3
T_9_U12,il mio peso è giusto,STATEMENT,3
T_9_S13,"Prova a riflettere, con calma, a quello che mangi durante il giorno. Ti sembra di assumere tutte le sostanze di cui avresti bisogno?",QUESTION,3
T_9_U13,si,GENERIC-ANSWER,3
T_9_S14,Scusa se sono sincera. Ma ho impressione che le tue abitudini alimentari non siano proprio ideali.,ENCOURAGE-SORRY,3
T_9_U14,hai ragione,AGREE,3
T_9_S15,"So che rischiamo di andare su fatti personali. Ma hai mai provato a chiederti a cosa sono dovute, le tue abitudini alimentari?",QUESTION,3
T_9_U15,"vita disordinata,leggera avversione per i cibi sani",STATEMENT,3
T_9_S16,"Ma, se provi a riflettere su quanto fa bene una buona dieta, penso proprio che ti renderai conto che vale la pena di perdere un po' del tuo tempo per cercare di nutrirti in modo giusto.",PERSUASION-SUGGEST,3
T_9_U16,per ora sto bene così,REJECT,3
T_9_S17,"Il nostro organismo ha bisogno di oltre 40 sostanze nutritive diverse. Quindi, per mantenerti in forma, dovresti cercare di variare , per quanto possibile, i cibi contenuti nella tua dieta.",PERSUASION-SUGGEST,3
T_9_U17,ne sono consapevole,AGREE,3
T_9_S18,"Mangiare ad orari fissi ti aiuta ad evitare di saltare i pasti e di trascurare sostanze che molto probabilmente non assumeresti, poi, nei pasti successivi.",PERSUASION-SUGGEST,3
T_9_U18,"i miei orari sono regolari,solo che spesso mangio in orari insoliti,soprattutto la sera",STATEMENT,3
T_9_S19,"In una dieta ideale, ben equilibrata, almeno il 50 percento delle calorie totali dovrebbe provenire da cibi a base di carboidrati.",PERSUASION-SUGGEST,3
T_9_U19,assumo molti carboidrati perchè mangio molta pasta,STATEMENT,3
T_9_S20,Molte ricerche a livello internazionale hanno dimostrato quanto sia importante una dieta ricca di ottimi vegetali e di frutta fresca.,PERSUASION-SUGGEST,3
T_9_U20,concordo,AGREE,3
T_9_S21,"Sembra esserci ormai un accordo generale, sul fatto che limitare la dose di grassi, in particolare quelli cosiddetti saturi, sia una regola fondamentale di una dieta veramente sana.",PERSUASION-SUGGEST,3
T_9_U21,ma ti vien tolto il piacere di mangiare,REJECT,3
T_9_S22,"Non devi eliminare completamente i grassi. Devi soltanto cercare di limitarne le dosi, soprattutto di quelli saturi. Cerca, inoltre, di privilegiare i grassi insaturi, come il magnifico olio di oliva!",PERSUASION-SUGGEST,3
T_9_U22,ok,AGREE,3
T_9_S23,"L'ideale sarebbe che tu mangiassi almeno cinque porzioni di frutta e verdura , ogni giorno.",PERSUASION-SUGGEST,3
T_9_U23,esagerata,REJECT,3
T_9_S24,"Viene normalmente consigliata una porzione corrispondente a circa 80 grammi. Per esempio: una mela, due o tre cucchiai di verdure congelate o un bicchiere di succo di frutta.",OFFER-GIVE-INFO,3
T_9_U24,è troppo,REJECT,3
T_9_S25,Credo di no,ANSWER,3
T_6_S1,"Ciao, il mio nome e' Valentina. Sono qui per esserti di aiuto, possiamo chiaccherare sulle tue abitudini alimentari, e potrei darti dei suggerimenti che potrebbero servirti per migliorare la tua dieta. Per iniziare, come ti chiami?",OPENING,4
T_6_U1,alessandro,OPENING,4
T_6_S2,"Proviamo a parlare, se vuoi, delle tue abitudini alimentari. Cosa mangi, di solito?",QUESTION,4
T_6_U2,"pasta, carne , pesce e frutta",STATEMENT,4
T_6_S3,"Tendi a mangiare sempre le stesse cose, oppure a seguire una dieta abbastanza variata?",QUESTION,4
T_6_U3,abbastanza diversificata,STATEMENT,4
T_6_S4,Che pensi di un magnifico piatto di spaghetti al dente?,QUESTION,4
T_6_U4,da manuale di dieta mediterranea,STATEMENT,4
T_6_S5,Che pensi di un bel piatto di frittura calda e croccante?,QUESTION,4
T_6_U5,ottimo,STATEMENT,4
T_6_S6,Ti attirano i dolci? Ti fermi mai davanti alla vetrina di una bella pasticceria?,QUESTION,4
T_6_U6,"non mi fermo , ci entro",STATEMENT,4
T_6_S7,"In media, sapresti ricostruire quanta verdura mangi, ogni giorno?",QUESTION,4
T_6_U7,ne mangio sempre ad ogni pasto,STATEMENT,4
T_6_S8,"Bene:  prova ora a riflettere sulla tua dieta. Pensi che sia giusta, o ti piacerebbe cambiare le tue abitudini alimentari?",QUESTION,4
T_6_U8,pensoche sia abbastanza equilibrata,STATEMENT,4
T_6_S9,"Non vorrei sembrarti indiscreta. Ma dimmi, il tuo peso ti sembra giusto? oppure ti piacerebbe cambiarlo?",QUESTION,4
T_6_U9,forse sono un po sottopeso...,STATEMENT,4
T_6_S10,"Prova a riflettere, con calma, a quello che mangi durante il giorno. Ti sembra di assumere tutte le sostanze di cui avresti bisogno?",QUESTION,4
T_6_U10,non sempre,GENERIC-ANSWER,4
T_6_S11,"Il nostro organismo ha bisogno di oltre 40 sostanze nutritive diverse. Quindi, per mantenerti in forma, dovresti cercare di variare , per quanto possibile, i cibi contenuti nella tua dieta.",PERSUASION-SUGGEST,4
T_6_U11,ok..,AGREE,4
T_6_S12,"In una dieta ideale, ben equilibrata, almeno il 50 percento delle calorie totali dovrebbe provenire da cibi a base di carboidrati.",PERSUASION-SUGGEST,4
T_6_U12,"fico, nn sapevo",AGREE,4
T_6_S13,"L'ideale sarebbe che tu mangiassi almeno cinque porzioni di frutta e verdura , ogni giorno.",PERSUASION-SUGGEST,4
T_6_U13,così tante?ho sentito tesi contrastanti a proposito,REJECT,4
T_6_S14,Molte ricerche a livello internazionale hanno dimostrato quanto sia importante una dieta ricca di ottimi vegetali e di frutta fresca.,PERSUASION-SUGGEST,4
T_6_U14,mi fido,AGREE,4
T_6_S15,"Viene normalmente consigliata una porzione corrispondente a circa 80 grammi. Per esempio: una mela, due o tre cucchiai di verdure congelate o un bicchiere di succo di frutta.",OFFER-GIVE-INFO,4
T_6_U15,"capito, allora dovrei mangiare più frutta?",INFO-REQUEST,4
T_6_S16,"Si Le vitamine A e C purificano il sangue e sono importanti per la crescita e la rigenerazione dei tessuti. Ti aiutano, quindi, ad avere un aspetto piu' sano e una pelle piu' luminosa.",PERSUASION-SUGGEST,4
T_6_U16,che cosa mi sai dire riguardo al giusto consumo di carne quotidiano?,INFO-REQUEST,4
T_6_S17,"Mi dispiace, non so rispondere a questa domanda.",ANSWER,4
T_6_U17,sei specializzata in frutta e verdura ?,KIND-ATTITUDE_SMALL-TALK,4
T_6_S18,Si,ANSWER,4
T_6_U18,mi sai dire quanta frutta dovrei consumare fuori dai pasti?,INFO-REQUEST,4
T_6_S19,"Mi dispiace, non so rispondere a questa domanda.",ANSWER,4
T_6_U19,"fa nulla , hai altri consigli da darmi?",INFO-REQUEST,4
T_6_S20,Credo di no,ANSWER,4
T_6_U20,"vogliamo parlare di te, allora?",KIND-ATTITUDE_SMALL-TALK,4
T_29_S1,"Ciao, il mio nome e' Valentina. Sono qui per darti dei suggerimenti su come migliorare la tua dieta. Quali sono le tue abitudini alimentari?",OPENING,5
T_29_U1,mangio tre volte al giorno,STATEMENT,5
T_29_S2,Ti piace mangiare?,QUESTION,5
T_29_U2,abbastanza,GENERIC-ANSWER,5
T_29_S3,Che cosa hai mangiato per colazione?,QUESTION,5
T_29_U3,latte e biscotti,STATEMENT,5
T_29_S4,Che cosa hai mangiato per cena?,QUESTION,5
T_29_U4,carne e verdura,STATEMENT,5
T_29_S5,Ti piacciono frutta e  verdura?,QUESTION,5
T_29_U5,la frutta si,STATEMENT,5
T_29_S6,Ti attirano molto i dolci?,QUESTION,5
T_29_U6,poco,STATEMENT,5
T_29_S7,Che pensi di un piatto di frittura?,QUESTION,5
T_29_U7,poco,STATEMENT,5
T_29_S8,"Pensi che la tua dieta sia giusta, o vorresti cambiare le tue abitudini alimentari?",QUESTION,5
T_29_U8,non lo so dimmi tu tu che mi consigli?,INFO-REQUEST,5
T_29_S9,"Il nostro organismo ha bisogno di oltre 40 sostanze nutritive diverse. Quindi, per mantenerti in forma, dovresti cercare di variare , per quanto possibile, i cibi contenuti nella tua dieta.",PERSUASION-SUGGEST,5
T_29_U9,in che modo?,SOLICITATION-REQ_CLARIFICATION,5
T_29_S10,"Non esistono alimenti buoni o cattivi, ma soltanto diete buone o cattive. Qualsiasi cibo puo' rientrare in uno stile di vita sano, se moderazione ed equilibrio sono rispettati. Bilanciare l'assunzione di alimenti significa introdurre una quantita' sufficiente, ma non eccessiva, di ogni  sostanza. Se le porzioni sono mantenute entro limiti ragionevoli, non occorre eliminare i cibi preferiti.",PERSUASION-SUGGEST,5
T_29_U10,si ma come posso cambiare?,REJECT,5
T_29_S11,"Diverse ricerche hanno dimostrato l'importanza di una dieta ricca di vegetali  e di frutta. Idealmente, bisognerebbe mangiare almeno cinque porzioni di frutta e verdura al giorno. Una porzione consiste, ad esempio, in una mela, due o tre cucchiai di verdure congelate o un bicchiere di succo di frutta. In generale, si  consiglia un consumo quotidiano di una porzione di verdura cotta e una di verdura cruda, e di due o tre porzioni di frutta fresca.",PERSUASION-SUGGEST,5
T_29_U11,mangio poca pasta,STATEMENT,5
T_29_S12,"In una dieta equilibrata, almeno la meta' delle calorie totali dovrebbe provenire da cibi a base di carboidrati. I carboidrati aiutano a tenere sotto controllo il peso e ad evitare un accumulo di grassi, fornendo il carburante immediamente disponibile per l'attivita' fisica, mentre le fibre alimentari aiutano l'intestino a funzionare correttamente. Soprattutto se abbinati ad una attivita' fisica costante, i carboidrati sono, quindi, fondamentali per una corretta funzione alimentare e sono un combustibile importante per cervello e muscoli.",PERSUASION-SUGGEST,5
T_29_U12,solo la pasta contiene carboidrati?,INFO-REQUEST,5
T_29_S13,"Chiedo scusa, non so rispondere a questa domanda.",ANSWER,5
T_29_U13,i carboidrati sono nella pasta?,SOLICITATION-REQ_CLARIFICATION,5
T_29_S14,Si,ANSWER,5
T_29_U14,solo nella pasta?,SOLICITATION-REQ_CLARIFICATION,5
T_29_S15,"Mi dispiace davvero, ma non so rispondere a questa domanda",ANSWER,5
T_29_U15,quale cibo contiene i carboidrati?,INFO-REQUEST,5
T_29_S16,"Mi dispiace davvero, ma non so rispondere a questa domanda",ANSWER,5
T_29_U16,i carboidrati come li assimilo?,SOLICITATION-REQ_CLARIFICATION,5
T_29_S17,"Chiedo scusa, non so rispondere a questa domanda.",ANSWER,5
T_29_U17,carboidrati?,INFO-REQUEST,5
T_29_S18,"Una carenza di carboidrati alimentari porta l'organismo a ricorrere ad altre sostanze reperite dai depositi, e non sempre dai depositi di grasso; cio' causa squilibri dannosi per l'organismo. Per esempio, rende il fegato molto piu' vulnerabile e puo' peggiorare la salute dei reni.",PERSUASION-SUGGEST,5
T_29_U18,dove si trovano i carboidrati?,INFO-REQUEST,5
T_29_S19,Purtroppo sono poco esperta in questo campo. Hai mai desiderato di cambiare dieta?,QUESTION,5
T_29_U19,si,GENERIC-ANSWER,5
T_29_S20,Per quale motivo non hai mai provato?,QUESTION,5
T_29_U20,per mancanza di tempo,STATEMENT,5
T_29_S21,"Certo, organizzarti in modo da mangiare correttamente probabilmente non ti sembra facile, specialmente se devi lavorare o studiare molto e non hai nessuno che ti aiuta. Devi perdere un sacco di tempo  per fare la spesa e cucinare un pasto variato. Invece, preparare un panino veloce oppure mangiare quello che capita ti fa perdere sicuramento meno tempo.",OFFER-GIVE-INFO,5
T_29_U21,si,GENERIC-ANSWER,5
T_29_S22,E allora? Dimmi qualcosa di piu'!,ENCOURAGE-SORRY,5
T_29_U22,troppo pane?,INFO-REQUEST,5
T_29_S23,"Idealmente un pasto dovrebbe contenere da 75 a 100 grammi di carne, un frutto di media grandezza, un piccolo piatto di pasta o 50 grammi di gelato. I cibi pronti permettono di controllare le porzioni riportando sulla confezione il valore energetico in calorie.",OFFER-GIVE-INFO,5
T_29_U23,e la carne?,INFO-REQUEST,5
T_29_S24,"Ogni cellula e tessuto del corpo contiene proteine. Queste si trovano nei muscoli, nelle ossa, nei capelli, nelle unghie e nella pelle: buona parte delle calorie assunte ogni giorno deve, quindi, provenire dalle proteine. Un uomo di 70 kili ha bisogno di 50 o 60 grammi di proteine al giorno, mentre, una donna di 55 kili ha bisogno di 40 o 50 grammi circa.",OFFER-GIVE-INFO,5
T_29_U24,mi piace la carne,STATEMENT,5
T_29_S25,"Le proteine necessarie possono essere assunte con due o tre porzioni di carne, latte, uova. Oppure, con quattro porzioni di proteine vegetali, come cereali i integrali, le verdure, i legumi, o anche la frutta secca.",OFFER-GIVE-INFO,5
T_29_U25,quale dieta dovrei seguire?,INFO-REQUEST,5
T_29_S26,"Non esistono alimenti buoni o cattivi, ma soltanto diete buone o cattive. Qualsiasi cibo puo' rientrare in uno stile di vita sano, se moderazione ed equilibrio sono rispettati. Bilanciare l'assunzione di alimenti significa introdurre una quantita' sufficiente, ma non eccessiva, di ogni  sostanza. Se le porzioni sono mantenute entro limiti ragionevoli, non occorre eliminare i cibi preferiti.",PERSUASION-SUGGEST,5
T_29_U26,ok,AGREE,5
T_29_S27,"Dovresti mangiare solamente quando hai fame per davvero. E dovresti aspettare che la digestione dei pasti precedenti sia completata, prima di mangiare di nuovo.",PERSUASION-SUGGEST,5
T_29_U27,giusto ti ringrazio,AGREE,5
T_29_S28,"Vedo che, complessivamente, fai attenzione alla tua dieta, e ne sono contenta.",ENCOURAGE-SORRY,5
T_29_U28,ciao,CLOSING,5
T_29_S29,Arrivederci. E' stato davvero piacevole interagire con te. Torna pure quando vuoi.,CLOSING,5
T_25_S1,"Ciao, mi chiamo Valentina. Sono qui per esserti di aiuto;  possiamo chiacchierare delle tue abitudini alimentari, e posso darti dei suggerimenti su come migliorare la tua dieta.",OPENING,6
T_25_U1,quanta carne devo mangiare,INFO-REQUEST,6
T_25_S2,"Ogni cellula e tessuto del corpo contiene proteine, che si trovano nei muscoli, nelle ossa, nei capelli, nelle unghie e nella pelle. Quindi, buona parte delle calorie che assumi ogni giorno deve provenire dalle proteine. Un uomo di 70 kili ha bisogno di 50 o 60 grammi di proteine al giorno, mentre una donna di 55 kili ha bisogno di 40 o 50 grammi circa.",OFFER-GIVE-INFO,6
T_25_U2,quante calorie assumo mangiando dolci?,INFO-REQUEST,6
T_25_S3,Mi dispiace davvero e mi vergogno anche un po'. Ma non so rispondere a questa domanda Ti attirano i dolci? Ti fermi mai davanti alla vetrina di una bella pasticceria?,QUESTION,6
T_25_U3,crema,INFO-REQUEST,6
T_25_S4,"Scusa, non ho capito: cosa intendi dire?",ANSWER,6
T_25_U4,dammi informazioni sui dolci?,INFO-REQUEST,6
T_25_S5,"Dovresti evitare i dolci, o almeno limitarli a particolari occasioni. Ti suggerirei di scegliere i gelati alla frutta e i dolci secchi o con la marmellata, evitando quelli farciti con la panna o con creme elaborate, e, quindi, ricchi di grassi e di calorie.",PERSUASION-SUGGEST,6
T_25_U5,consigliami una dieta,INFO-REQUEST,6
T_25_S6,"Il nostro organismo ha bisogno di oltre 40 sostanze nutritive diverse. Quindi, per mantenerti in forma, dovresti cercare di variare , per quanto possibile, i cibi contenuti nella tua dieta.",PERSUASION-SUGGEST,6
T_25_U6,spinaci,INFO-REQUEST,6
T_25_S7,ti piacciono frutta e verdura?,QUESTION,6
T_25_U7,quale verdura è consigliabile?,INFO-REQUEST,6
T_25_S8,"Diverse ricerche hanno dimostrato l'importanza di una dieta ricca di vegetali e di frutta. Idealmente, bisognerebbe mangiare almeno cinque porzioni di frutta e verdura al giorno. Una porzione consiste, ad esempio, in una mela, due o tre cucchiai di verdure congelate o un bicchiere di succo di frutta. In generale, si consiglia di consumare, ogni giorno, una porzione di verdura cotta, una di verdura cruda e due o tre di frutta fresca.",PERSUASION-SUGGEST,6
T_25_U8,creme e dolci sono dannose?,INFO-REQUEST,6
T_25_S9,"Difficile resistere alle tentazioni! Dovresti evitare i dolci, o almeno limitarli a particolari occasioni. Ti suggerirei di scegliere i gelati alla frutta e i dolci secchi o con la marmellata, evitando quelli farciti con la panna o con creme elaborate, e, quindi, ricchi di grassi e di calorie.",PERSUASION-SUGGEST,6
T_25_U9,crema,STATEMENT,6
T_25_S10,"Ti capita di mangiarne spesso, o solo ogni tanto?",QUESTION,6
T_25_U10,ogni tanto,GENERIC-ANSWER,6
T_25_S11,"Bene:  prova ora a riflettere sulla tua dieta. Pensi che sia giusta, o ti piacerebbe cambiare le tue abitudini alimentari?",QUESTION,6
T_25_U11,mi piacerebbe cambiare,STATEMENT,6
T_25_S12,E come mai non hai mai provato?,QUESTION,6
T_25_U12,non so come cambiare,STATEMENT,6
T_25_S13,"Ci sono aspetti particolari della dieta sui quali ti piacerebbe avere maggiori informazioni? Posso provare a risponderti, anche se le mie conoscenze sono ancora incomplete.",OFFER-GIVE-INFO,6
T_25_U13,consigliami piatti veloci e sani,INFO-REQUEST,6
T_25_S14,"Purtroppo sono poco esperta in questo campo Sai, gli agenti artificiali vengono addestrati gradualmente, e in domini molto specializzati. Le loro conoscenze, quindi, sono spesso limitate. Chi ci programma tende a pensare al nostro aspetto piu' che alla nostra mente!",TALK-ABOUT-SELF,6
T_25_U14,"sono obesa, cosa devo fare?",INFO-REQUEST,6
T_25_S15,"Un eccesso di grasso corporeo costituisce un fattore di rischio elevato per lo sviluppo di malattie serie, come quelle cardiache e il diabete. Quelli piu' pericolosi sono i grassi saturi, che sono contenuti in quasi tutti gli alimenti di origine animale come la carne, il latte, il formaggio e il burro. Ma i grassi saturi si trovano anche in alcuni prodotti di origine vegetale, come la margarina e gli olii di cocco e di palma. Limitare la quantita' di grassi, in particolare di quelli saturi, e' un principio fondamentale di una dieta sana.",PERSUASION-SUGGEST,6
T_20_S1,"Ciao, il mio nome e' Valentina. Sono qui per darti dei suggerimenti su come migliorare la tua dieta.",OPENING,7
T_20_U1,aspetto,SOLICITATION-REQ_CLARIFICATION,7
T_20_S2,Ti piace mangiare?,QUESTION,7
T_20_U2,si molto,STATEMENT,7
T_20_S3,Che cosa hai mangiato per colazione?,QUESTION,7
T_20_U3,latte macchiato e qualche biscotto,STATEMENT,7
T_20_S4,"Ah, bene! Ti attirano molto i dolci?",QUESTION,7
T_20_U4,avrei preferito cioccolata calda,STATEMENT,7
T_20_S5,Ti attirano molto i dolci?,QUESTION,7
T_20_U5,si moltissimo,STATEMENT,7
T_20_S6,"Forse hai ragione, ma... I dolci sono da evitare, ovvero da limitare a particolari occasioni. Sono da preferire i gelati alla frutta e i dolci secchi o con marmellata, evitando quelli farciti con panna o creme elaborate, e, quindi, ricchi in grassi e calorie.",PERSUASION-SUGGEST,7
T_20_U6,e nutella?,INFO-REQUEST,7
T_20_S7,Difficile resistere alle tentazioni!,ENCOURAGE-SORRY,7
T_20_U7,lo so bene!!,AGREE,7
T_20_S8,Ne mangi spesso?,QUESTION,7
T_20_U8,tantissima!!!!!!,STATEMENT,7
T_20_S9,"Pensi che la tua dieta sia giusta, o vorresti cambiare le tue abitudini alimentari?",QUESTION,7
T_20_U9,vorrei mangiare cose genuine ma allo stesso tempo buone!!,STATEMENT,7
T_20_S10,"Non esistono alimenti buoni o cattivi, ma soltanto diete buone o cattive. Qualsiasi cibo puo' rientrare in uno stile di vita sano, se moderazione ed equilibrio sono rispettati. Bilanciare l'assunzione di alimenti significa introdurre una quantita' sufficiente, ma non eccessiva, di ogni  sostanza. Se le porzioni sono mantenute entro limiti ragionevoli, non occorre eliminare i cibi preferiti. Che pensi di un piatto di spaghetti?",PERSUASION-SUGGEST,7
T_20_U10,siiiiiiiii,STATEMENT,7
T_20_S11,"Ah, bene!",ENCOURAGE-SORRY,7
T_20_U11,oppure lasagne al pesto,STATEMENT,7
T_20_S12,"Questa e' una buona idea! I carboidrati aiutano a tenere sotto controllo il peso e ad evitare un accumulo di grassi, fornendo il carburante immediamente disponibile per l'attivita' fisica, mentre le fibre alimentari aiutano l'intestino a funzionare correttamente. Soprattutto se abbinati ad una attivita' fisica costante, i carboidrati sono, quindi, fondamentali per una corretta funzione alimentare e sono un combustibile importante per cervello e muscoli.",PERSUASION-SUGGEST,7
T_20_U12,quindi posso mangiare quanta cioccolata voglio?,INFO-REQUEST,7
T_20_S13,"Credo di no I dolci sono da evitare, ovvero da limitare a particolari occasioni. Sono da preferire i gelati alla frutta e i dolci secchi o con marmellata, evitando quelli farciti con panna o creme elaborate, e, quindi, ricchi in grassi e calorie.",PERSUASION-SUGGEST,7
T_20_U13,va bene ok!! suggerimenti su frutta e verdura??,INFO-REQUEST,7
T_20_S14,"Diverse ricerche a livello internazionale hanno dimostrato l'importanza di una dieta ricca di vegetali  e di frutta. Idealmente, bisognerebbe mangiare almeno cinque porzioni di frutta e verdura al giorno. La porzione consigliata  risulta essere di circa 80 grammi:  per esempio una mela, due o tre cucchiai di verdure congelate o un bicchiere di succo di frutta. In generale, si  consiglia un consumo quotidiano di una porzione di verdura cotta e una di verdura cruda, e di due o tre porzioni di frutta fresca. Meglio ingerire la verdura fresca prima del pasto, per raggiungere rapidamente il senso di sazieta', e meglio non consumare frutta zuccherina a fine pasto, per evitare problemi di digestione.",PERSUASION-SUGGEST,7
T_20_U14,ma la frutta a fine pasto fa ingrassare?,INFO-REQUEST,7
