Utterance,Dialogue_Act,Speaker,Dialogue_ID
"ja ist mir recht",ACCEPT,B,45
"wunderbar",FEEDBACK_POSITIVE,A,45
"und mit welchem ja wie sollen wir hinkommen",INIT,A,45
"sollen wir mit dem Zug fahren mit dem Flugzeug Privat-$P-$K-$W",REQUEST_SUGGEST,A,45
"ja ist mir recht",ACCEPT,B,46
"wunderbar",FEEDBACK_POSITIVE,A,46
"und mit welchem ja wie sollen wir hinkommen",INIT,A,46
"sollen wir mit dem Zug fahren mit dem Flugzeug Privat-$P-$K-$W",REQUEST_SUGGEST,A,46
"also ich habe mich hier schon für Zugverbindungen und Flüge erkundigt",INFORM,B,46
"wunderbar",FEEDBACK_POSITIVE,A,47
"und mit welchem ja wie sollen wir hinkommen",INIT,A,47
"sollen wir mit dem Zug fahren mit dem Flugzeug Privat-$P-$K-$W",REQUEST_SUGGEST,A,47
"also ich habe mich hier schon für Zugverbindungen und Flüge erkundigt",INFORM,B,47
"und ich weiß nicht ich hätte ehrlich gesagt eine Zugverbindung lieber",SUGGEST,B,47
"und mit welchem ja wie sollen wir hinkommen",INIT,A,48
"sollen wir mit dem Zug fahren mit dem Flugzeug Privat-$P-$K-$W",REQUEST_SUGGEST,A,48
"also ich habe mich hier schon für Zugverbindungen und Flüge erkundigt",INFORM,B,48
"und ich weiß nicht ich hätte ehrlich gesagt eine Zugverbindung lieber",SUGGEST,B,48
"ja ich auch",ACCEPT,A,48
"sollen wir mit dem Zug fahren mit dem Flugzeug Privat-$P-$K-$W",REQUEST_SUGGEST,A,49
"also ich habe mich hier schon für Zugverbindungen und Flüge erkundigt",INFORM,B,49
"und ich weiß nicht ich hätte ehrlich gesagt eine Zugverbindung lieber",SUGGEST,B,49
"ja ich auch",ACCEPT,A,49
"das paßt mir wunderbar",ACCEPT,A,49
"ja wir würden dann viereinhalb Stunden fahren",INFORM,B,50
"also mir wäre es auch recht wenn wir erst dann so um acht oder um neun Uhr fahren würden",SUGGEST,B,50
"ja wunderbar",ACCEPT,A,50
"dann machen wir doch neun Uhr in der Früh",CONFIRM,A,50
"dann sind wir so gegen Mittag dann in Hannover",INFORM,A,50
"also mir wäre es auch recht wenn wir erst dann so um acht oder um neun Uhr fahren würden",SUGGEST,B,51
"ja wunderbar",ACCEPT,A,51
"dann machen wir doch neun Uhr in der Früh",CONFIRM,A,51
"dann sind wir so gegen Mittag dann in Hannover",INFORM,A,51
"das paßt",FEEDBACK_POSITIVE,A,51
"ja wunderbar",ACCEPT,A,52
"dann machen wir doch neun Uhr in der Früh",CONFIRM,A,52
"dann sind wir so gegen Mittag dann in Hannover",INFORM,A,52
"das paßt",FEEDBACK_POSITIVE,A,52
"schön",FEEDBACK_POSITIVE,B,52
"dann machen wir doch neun Uhr in der Früh",CONFIRM,A,53
"dann sind wir so gegen Mittag dann in Hannover",INFORM,A,53
"das paßt",FEEDBACK_POSITIVE,A,53
"schön",FEEDBACK_POSITIVE,B,53
"ja dann bleibt eigentlich nur noch die Hotelreservierung",INIT,A,53
"dann sind wir so gegen Mittag dann in Hannover",INFORM,A,54
"das paßt",FEEDBACK_POSITIVE,A,54
"schön",FEEDBACK_POSITIVE,B,54
"ja dann bleibt eigentlich nur noch die Hotelreservierung",INIT,A,54
"<ähm> ich habe mich da schon erkundigt und da stehen uns drei Hotels zur Auswahl in Hannover",INFORM,A,54
"das paßt",FEEDBACK_POSITIVE,A,55
"schön",FEEDBACK_POSITIVE,B,55
"ja dann bleibt eigentlich nur noch die Hotelreservierung",INIT,A,55
"<ähm> ich habe mich da schon erkundigt und da stehen uns drei Hotels zur Auswahl in Hannover",INFORM,A,55
"das Hotel Matinin Maritim Entschuldigung",SUGGEST,A,55
"schön",FEEDBACK_POSITIVE,B,56
"ja dann bleibt eigentlich nur noch die Hotelreservierung",INIT,A,56
"<ähm> ich habe mich da schon erkundigt und da stehen uns drei Hotels zur Auswahl in Hannover",INFORM,A,56
"das Hotel Matinin Maritim Entschuldigung",SUGGEST,A,56
"das ist ziemlich in der Nähe vom Zentrum",INFORM,A,56
"ja dann bleibt eigentlich nur noch die Hotelreservierung",INIT,A,57
"<ähm> ich habe mich da schon erkundigt und da stehen uns drei Hotels zur Auswahl in Hannover",INFORM,A,57
"das Hotel Matinin Maritim Entschuldigung",SUGGEST,A,57
"das ist ziemlich in der Nähe vom Zentrum",INFORM,A,57
"dann das Hotel Luisenhof",SUGGEST,A,57
"<ähm> ich habe mich da schon erkundigt und da stehen uns drei Hotels zur Auswahl in Hannover",INFORM,A,58
"das Hotel Matinin Maritim Entschuldigung",SUGGEST,A,58
"das ist ziemlich in der Nähe vom Zentrum",INFORM,A,58
"dann das Hotel Luisenhof",SUGGEST,A,58
"<ähm> ist in der Nähe vom Hauptbahnhof",INFORM,A,58
"das Hotel Matinin Maritim Entschuldigung",SUGGEST,A,59
"das ist ziemlich in der Nähe vom Zentrum",INFORM,A,59
"dann das Hotel Luisenhof",SUGGEST,A,59
"<ähm> ist in der Nähe vom Hauptbahnhof",INFORM,A,59
"und das Hotel Loccumer-Hof",SUGGEST,A,59
"das ist ziemlich in der Nähe vom Zentrum",INFORM,A,60
"dann das Hotel Luisenhof",SUGGEST,A,60
"<ähm> ist in der Nähe vom Hauptbahnhof",INFORM,A,60
"und das Hotel Loccumer-Hof",SUGGEST,A,60
"ja da ist wohl der Vorteil daß es ein Schwimmbad hat",INFORM,A,60
"dann das Hotel Luisenhof",SUGGEST,A,61
"<ähm> ist in der Nähe vom Hauptbahnhof",INFORM,A,61
"und das Hotel Loccumer-Hof",SUGGEST,A,61
"ja da ist wohl der Vorteil daß es ein Schwimmbad hat",INFORM,A,61
"ich weiß nicht ich fände dieses Hotel Luisenhof ganz gut",SUGGEST,A,61
"<ähm> ist in der Nähe vom Hauptbahnhof",INFORM,A,62
"und das Hotel Loccumer-Hof",SUGGEST,A,62
"ja da ist wohl der Vorteil daß es ein Schwimmbad hat",INFORM,A,62
"ich weiß nicht ich fände dieses Hotel Luisenhof ganz gut",SUGGEST,A,62
"wenn wir mit dem Zug ankommen dann haben wir echt nicht weit <äh> zu dem Hotel vom Hauptbahnhof",GIVE_REASON,A,62
"und das Hotel Loccumer-Hof",SUGGEST,A,63
"ja da ist wohl der Vorteil daß es ein Schwimmbad hat",INFORM,A,63
"ich weiß nicht ich fände dieses Hotel Luisenhof ganz gut",SUGGEST,A,63
"wenn wir mit dem Zug ankommen dann haben wir echt nicht weit <äh> zu dem Hotel vom Hauptbahnhof",GIVE_REASON,A,63
"ja das hört sich gut an",ACCEPT,B,63
"ja da ist wohl der Vorteil daß es ein Schwimmbad hat",INFORM,A,64
"ich weiß nicht ich fände dieses Hotel Luisenhof ganz gut",SUGGEST,A,64
"wenn wir mit dem Zug ankommen dann haben wir echt nicht weit <äh> zu dem Hotel vom Hauptbahnhof",GIVE_REASON,A,64
"ja das hört sich gut an",ACCEPT,B,64
"ist auch von einer Preise her das günstigste genau",INFORM,A,64
"ich weiß nicht ich fände dieses Hotel Luisenhof ganz gut",SUGGEST,A,65
"wenn wir mit dem Zug ankommen dann haben wir echt nicht weit <äh> zu dem Hotel vom Hauptbahnhof",GIVE_REASON,A,65
"ja das hört sich gut an",ACCEPT,B,65
"ist auch von einer Preise her das günstigste genau",INFORM,A,65
"gut",FEEDBACK_POSITIVE,A,65
"wenn wir mit dem Zug ankommen dann haben wir echt nicht weit <äh> zu dem Hotel vom Hauptbahnhof",GIVE_REASON,A,66
"ja das hört sich gut an",ACCEPT,B,66
"ist auch von einer Preise her das günstigste genau",INFORM,A,66
"gut",FEEDBACK_POSITIVE,A,66
"soll ich dann mit dem Hotel da dann die Buchung vereinbaren",OFFER,A,66
"ja das hört sich gut an",ACCEPT,B,67
"ist auch von einer Preise her das günstigste genau",INFORM,A,67
"gut",FEEDBACK_POSITIVE,A,67
"soll ich dann mit dem Hotel da dann die Buchung vereinbaren",OFFER,A,67
"ja das ist gut",FEEDBACK_POSITIVE,B,67
"ist auch von einer Preise her das günstigste genau",INFORM,A,68
"gut",FEEDBACK_POSITIVE,A,68
"soll ich dann mit dem Hotel da dann die Buchung vereinbaren",OFFER,A,68
"ja das ist gut",FEEDBACK_POSITIVE,B,68
"das wäre toll",ACCEPT,B,68
"gut",FEEDBACK_POSITIVE,A,69
"soll ich dann mit dem Hotel da dann die Buchung vereinbaren",OFFER,A,69
"ja das ist gut",FEEDBACK_POSITIVE,B,69
"das wäre toll",ACCEPT,B,69
"dann kümmere ich mich um die Tickets",COMMIT,B,69
"soll ich dann mit dem Hotel da dann die Buchung vereinbaren",OFFER,A,70
"ja das ist gut",FEEDBACK_POSITIVE,B,70
"das wäre toll",ACCEPT,B,70
"dann kümmere ich mich um die Tickets",COMMIT,B,70
"wunderbar",ACCEPT,A,70
"ja das ist gut",FEEDBACK_POSITIVE,B,71
"das wäre toll",ACCEPT,B,71
"dann kümmere ich mich um die Tickets",COMMIT,B,71
"wunderbar",ACCEPT,A,71
"<äh> ja sollen wir dann an diesem Freitag abend irgendwie zusammen ausgehen Essen gehen",INIT,A,71
"das wäre toll",ACCEPT,B,72
"dann kümmere ich mich um die Tickets",COMMIT,B,72
"wunderbar",ACCEPT,A,72
"<äh> ja sollen wir dann an diesem Freitag abend irgendwie zusammen ausgehen Essen gehen",INIT,A,72
"oder möchten Sie den allein verbringen",REQUEST_COMMENT,A,72
"dann kümmere ich mich um die Tickets",COMMIT,B,73
"wunderbar",ACCEPT,A,73
"<äh> ja sollen wir dann an diesem Freitag abend irgendwie zusammen ausgehen Essen gehen",INIT,A,73
"oder möchten Sie den allein verbringen",REQUEST_COMMENT,A,73
"also wir können auf alle Fälle was zusammen machen",ACCEPT,B,73
"ja genau",ACCEPT,A,74
"dann halten wir uns das einfach offen",DEFER,A,74
"aber daß wir auf jeden Fall irgendwas gemeinsam organisieren noch",DEFER,A,74
"aber da hat hat man jetzt auch noch Zeit",INFORM,A,74
"ich meine jetzt ist erst Ende Dezember",INFORM,A,74
"dann halten wir uns das einfach offen",DEFER,A,75
"aber daß wir auf jeden Fall irgendwas gemeinsam organisieren noch",DEFER,A,75
"aber da hat hat man jetzt auch noch Zeit",INFORM,A,75
"ich meine jetzt ist erst Ende Dezember",INFORM,A,75
"gut haben wir das schon geklärt",CLOSE,A,75
"aber daß wir auf jeden Fall irgendwas gemeinsam organisieren noch",DEFER,A,76
"aber da hat hat man jetzt auch noch Zeit",INFORM,A,76
"ich meine jetzt ist erst Ende Dezember",INFORM,A,76
"gut haben wir das schon geklärt",CLOSE,A,76
"gut",FEEDBACK_POSITIVE,B,76
"aber da hat hat man jetzt auch noch Zeit",INFORM,A,77
"ich meine jetzt ist erst Ende Dezember",INFORM,A,77
"gut haben wir das schon geklärt",CLOSE,A,77
"gut",FEEDBACK_POSITIVE,B,77
"schön",FEEDBACK_POSITIVE,B,77
"ich meine jetzt ist erst Ende Dezember",INFORM,A,78
"gut haben wir das schon geklärt",CLOSE,A,78
"gut",FEEDBACK_POSITIVE,B,78
"schön",FEEDBACK_POSITIVE,B,78
"ja dann wünsche ich Ihnen noch einen schönen Tag",POLITENESS_FORMULA,A,78
"gut haben wir das schon geklärt",CLOSE,A,79
"gut",FEEDBACK_POSITIVE,B,79
"schön",FEEDBACK_POSITIVE,B,79
"ja dann wünsche ich Ihnen noch einen schönen Tag",POLITENESS_FORMULA,A,79
"Wiedersehen",BYE,A,79
"gut",FEEDBACK_POSITIVE,B,80
"schön",FEEDBACK_POSITIVE,B,80
"ja dann wünsche ich Ihnen noch einen schönen Tag",POLITENESS_FORMULA,A,80
"Wiedersehen",BYE,A,80
"ich Ihnen auch",POLITENESS_FORMULA,B,80
"schön",FEEDBACK_POSITIVE,B,81
"ja dann wünsche ich Ihnen noch einen schönen Tag",POLITENESS_FORMULA,A,81
"Wiedersehen",BYE,A,81
"ich Ihnen auch",POLITENESS_FORMULA,B,81
"Wiederhören",BYE,B,81
"guten Tag",POLITENESS_FORMULA,A,82
"ja guten Tag",POLITENESS_FORMULA,B,82
"<äh> mein Name ist Starr",INTRODUCE,B,82
"mit wem spreche ich bitte",REQUEST,B,82
"mit Herrn Rohde Hannes Rohde",INTRODUCE,A,82
"ja guten Tag",POLITENESS_FORMULA,B,83
"<äh> mein Name ist Starr",INTRODUCE,B,83
"mit wem spreche ich bitte",REQUEST,B,83
"mit Herrn Rohde Hannes Rohde",INTRODUCE,A,83
"ah selbst am Apparat",INFORM,B,83
"<äh> mein Name ist Starr",INTRODUCE,B,84
"mit wem spreche ich bitte",REQUEST,B,84
"mit Herrn Rohde Hannes Rohde",INTRODUCE,A,84
"ah selbst am Apparat",INFORM,B,84
"<ähm> ich würde mich interessieren <ähm> für eine Reise nach Hannover und zwar geschäftlich",INIT,B,84
"was könnten Sie mir denn da sagen",REQUEST,B,85
"mhm",BACKCHANNEL,A,85
"ja also erst mal zum Hotel",INIT,A,85
"da haben wir noch drei verschiedene Hotels die wir Ihnen anbieten können die noch Zimmer freihaben",INFORM,A,85
"mhm",BACKCHANNEL,B,85
"mhm",BACKCHANNEL,A,86
"ja also erst mal zum Hotel",INIT,A,86
"da haben wir noch drei verschiedene Hotels die wir Ihnen anbieten können die noch Zimmer freihaben",INFORM,A,86
"mhm",BACKCHANNEL,B,86
"das ist also einmal das Hotel Eden",SUGGEST,A,86
"ja also erst mal zum Hotel",INIT,A,87
"da haben wir noch drei verschiedene Hotels die wir Ihnen anbieten können die noch Zimmer freihaben",INFORM,A,87
"mhm",BACKCHANNEL,B,87
"das ist also einmal das Hotel Eden",SUGGEST,A,87
"so etwas entfernt von der City also nicht ganz zentral aber dafür sehr billig",INFORM,A,87
"da haben wir noch drei verschiedene Hotels die wir Ihnen anbieten können die noch Zimmer freihaben",INFORM,A,88
"mhm",BACKCHANNEL,B,88
"das ist also einmal das Hotel Eden",SUGGEST,A,88
"so etwas entfernt von der City also nicht ganz zentral aber dafür sehr billig",INFORM,A,88
"dann gibt es das Hotel Königshof",SUGGEST,A,88
"und das kostet allerdings auch am meisten Geld",INFORM,A,89
"mhm",BACKCHANNEL,B,89
"ja ich denke ich werde mich dann für die mittlere Preisklasse entscheiden",ACCEPT,B,89
"da das ja auch Konferenzraum hatte wie Sie sagten",GIVE_REASON,B,89
"und was war das andere",REQUEST,B,89
